Dataset is copied to /tmp
Epoch: [0]  [  340/15000]  eta: 0:49:53  lr: 0.001708  loss: 0.2782 (0.9153)  loss_classifier: 0.1436 (0.6504)  loss_box_reg: 0.0837 (0.0918)  loss_objectness: 0.0256 (0.1441)  loss_rpn_box_reg: 0.0163 (0.0291)  time: 0.1845  data: 0.0051  max mem: 4119
Epoch: [0]  [  350/15000]  eta: 0:49:41  lr: 0.001758  loss: 0.2823 (0.8974)  loss_classifier: 0.1308 (0.6358)  loss_box_reg: 0.0915 (0.0920)  loss_objectness: 0.0256 (0.1409)  loss_rpn_box_reg: 0.0164 (0.0288)  time: 0.1856  data: 0.0051  max mem: 4119
Epoch: [0]  [  360/15000]  eta: 0:49:37  lr: 0.001808  loss: 0.2935 (0.8819)  loss_classifier: 0.1420 (0.6230)  loss_box_reg: 0.1073 (0.0926)  loss_objectness: 0.0239 (0.1377)  loss_rpn_box_reg: 0.0145 (0.0286)  time: 0.1892  data: 0.0053  max mem: 4119
Epoch: [0]  [  370/15000]  eta: 0:49:29  lr: 0.001858  loss: 0.3069 (0.8654)  loss_classifier: 0.1560 (0.6100)  loss_box_reg: 0.1041 (0.0925)  loss_objectness: 0.0213 (0.1347)  loss_rpn_box_reg: 0.0162 (0.0283)  time: 0.1936  data: 0.0057  max mem: 4119
Epoch: [0]  [  380/15000]  eta: 0:49:26  lr: 0.001908  loss: 0.2804 (0.8524)  loss_classifier: 0.1491 (0.5990)  loss_box_reg: 0.0992 (0.0932)  loss_objectness: 0.0206 (0.1320)  loss_rpn_box_reg: 0.0175 (0.0283)  time: 0.1951  data: 0.0057  max mem: 4119
Epoch: [0]  [  390/15000]  eta: 0:49:17  lr: 0.001958  loss: 0.3735 (0.8425)  loss_classifier: 0.2007 (0.5900)  loss_box_reg: 0.1271 (0.0947)  loss_objectness: 0.0257 (0.1298)  loss_rpn_box_reg: 0.0182 (0.0280)  time: 0.1918  data: 0.0053  max mem: 4119
Epoch: [0]  [  400/15000]  eta: 0:49:08  lr: 0.002008  loss: 0.3735 (0.8330)  loss_classifier: 0.2278 (0.5812)  loss_box_reg: 0.1124 (0.0957)  loss_objectness: 0.0286 (0.1279)  loss_rpn_box_reg: 0.0157 (0.0283)  time: 0.1834  data: 0.0051  max mem: 4119
Epoch: [0]  [  410/15000]  eta: 0:48:58  lr: 0.002058  loss: 0.3453 (0.8228)  loss_classifier: 0.1886 (0.5726)  loss_box_reg: 0.1113 (0.0962)  loss_objectness: 0.0234 (0.1257)  loss_rpn_box_reg: 0.0232 (0.0283)  time: 0.1817  data: 0.0052  max mem: 4119
Epoch: [0]  [  420/15000]  eta: 0:48:50  lr: 0.002108  loss: 0.3733 (0.8137)  loss_classifier: 0.2009 (0.5643)  loss_box_reg: 0.1145 (0.0970)  loss_objectness: 0.0247 (0.1241)  loss_rpn_box_reg: 0.0243 (0.0283)  time: 0.1826  data: 0.0052  max mem: 4119
Epoch: [0]  [  430/15000]  eta: 0:48:49  lr: 0.002158  loss: 0.3466 (0.8025)  loss_classifier: 0.1678 (0.5551)  loss_box_reg: 0.0991 (0.0970)  loss_objectness: 0.0279 (0.1219)  loss_rpn_box_reg: 0.0259 (0.0285)  time: 0.1941  data: 0.0053  max mem: 4119
